TESTING: episode: 720010000, avg_reward: 49.9, success_rate: 0.798, avg_steps: 8.159
TESTING: episode: 730010000, avg_reward: 45.27, success_rate: 0.778, avg_steps: 8.43
TESTING: episode: 740010000, avg_reward: 61.98, success_rate: 0.788, avg_steps: 8.178
TESTING: episode: 750010000, avg_reward: 51.7, success_rate: 0.78, avg_steps: 8.242
TESTING: episode: 760010000, avg_reward: 29.58, success_rate: 0.774, avg_steps: 8.232
TESTING: episode: 770010000, avg_reward: 29.17, success_rate: 0.77, avg_steps: 8.277
TESTING: episode: 780010000, avg_reward: 41.54, success_rate: 0.777, avg_steps: 8.254
TESTING: episode: 790010000, avg_reward: 50.01, success_rate: 0.766, avg_steps: 8.25
TESTING: episode: 800010000, avg_reward: 51.78, success_rate: 0.791, avg_steps: 8.056
TESTING: episode: 810010000, avg_reward: 55.98, success_rate: 0.796, avg_steps: 8.112
TESTING: episode: 820010000, avg_reward: 37.53, success_rate: 0.788, avg_steps: 8.101
TESTING: episode: 830010000, avg_reward: 18.93, success_rate: 0.788, avg_steps: 8.255
TESTING: episode: 840010000, avg_reward: 37.42, success_rate: 0.788, avg_steps: 8.288
TESTING: episode: 850010000, avg_reward: 51.31, success_rate: 0.75, avg_steps: 8.356
TESTING: episode: 860010000, avg_reward: 51.86, success_rate: 0.772, avg_steps: 8.242
TESTING: episode: 870010000, avg_reward: 61.65, success_rate: 0.798, avg_steps: 8.133
TESTING: episode: 880010000, avg_reward: 48.11, success_rate: 0.79, avg_steps: 8.083
TESTING: episode: 890010000, avg_reward: 31.54, success_rate: 0.806, avg_steps: 7.993
TESTING: episode: 900010000, avg_reward: 47.39, success_rate: 0.806, avg_steps: 7.968
TESTING: episode: 910010000, avg_reward: 70.09, success_rate: 0.82, avg_steps: 7.947
TESTING: episode: 920010000, avg_reward: 31.31, success_rate: 0.799, avg_steps: 7.924
TESTING: episode: 930010000, avg_reward: 55.86, success_rate: 0.803, avg_steps: 7.969
TESTING: episode: 940010000, avg_reward: 49.23, success_rate: 0.776, avg_steps: 8.208
TESTING: episode: 950010000, avg_reward: 43.86, success_rate: 0.786, avg_steps: 7.985
TESTING: episode: 960010000, avg_reward: 47.97, success_rate: 0.795, avg_steps: 7.835
TESTING: episode: 970010000, avg_reward: 56.21, success_rate: 0.809, avg_steps: 7.901
TESTING: episode: 980010000, avg_reward: 45.82, success_rate: 0.783, avg_steps: 8.076
TESTING: episode: 990010000, avg_reward: 37.79, success_rate: 0.808, avg_steps: 7.965
TESTING: episode: 1000010000, avg_reward: 60.07, success_rate: 0.794, avg_steps: 7.998
